,stft,cqt,centroid,bandwidth,rollof,tempo,rms,zero_crossing_rate,genre
6,0.50010705,0.63224983,2262.6913319896994,2264.1116737231373,4521.872656854683,112.34714673913044,0.07621999,0.10571704781830496,rock
7,0.4531328,0.6380736,2155.3351341128327,1994.7264233170952,4043.4922162224266,112.34714673913044,0.09228648,0.12097923822078173,rock
8,0.5182119,0.6454579,2121.531317318982,2118.595608896252,4188.324673773704,112.34714673913044,0.07524232,0.0959672957381966,rock
9,0.5428186,0.6729907,2024.6942223858323,1828.612644316243,3712.294218931405,112.34714673913044,0.06394331,0.11475062886996903,rock
10,0.45880184,0.5712363,1666.9761385274473,1600.5792583254615,3137.1893631784537,80.74951171875,0.059935603,0.09505649247774768,rock
11,0.4513493,0.5776166,2040.560318147567,1877.9068736155928,3709.4109030330883,80.74951171875,0.10156224,0.11864176180340558,rock
12,0.4325935,0.5686127,2065.4204532288572,1876.6707068985236,3731.444103134675,80.74951171875,0.10085262,0.12243198831753097,rock
13,0.28156784,0.4791137,1614.2155057032312,1586.5975367646465,3122.247786861455,161.4990234375,0.1406614,0.08206148413312693,rock
14,0.40953574,0.48670346,2958.4187364032623,2264.8782711309264,5310.817886210816,135.99917763157896,0.05134959,0.1970381131482198,rock
15,0.54638743,0.51124805,2403.7449260856174,2386.287947009289,4842.404051978521,135.99917763157896,0.15492272,0.1100307027621904,rock
16,0.44385844,0.4031154,2488.859925390679,2513.0099387462337,5199.751891145027,135.99917763157896,0.19257891,0.10767508586493808,rock
17,0.47304323,0.42399344,2450.6902135374457,2390.0880578302895,4975.836578463623,135.99917763157896,0.21638401,0.11540444199883901,rock
18,0.44896737,0.42901677,2625.7523599303236,2550.1222798271565,5444.750409672504,135.99917763157896,0.23594105,0.1216133991631192,rock
19,0.53728247,0.5983941,3150.2541142128966,2575.6858862204044,6044.738448293586,92.28515625,0.11027836,0.19655134360487617,rock
20,0.4458196,0.52952063,2766.917279762854,2510.5022077595668,5443.258752025687,92.28515625,0.19019355,0.1554094910990712,rock
21,0.44218054,0.54703486,2740.160444841024,2458.1601128019634,5372.500846555728,92.28515625,0.19087307,0.1576434156104876,rock
22,0.44488892,0.50759196,2615.4640737246145,2462.3385573309965,5161.843787036813,95.703125,0.20561662,0.14200934537054954,rock
23,0.40776852,0.51697123,2644.4572577912527,2403.629529165561,4992.70314314048,95.703125,0.21244904,0.15540533390576625,rock
24,0.44555077,0.6215105,2698.3326671075824,2296.3666026475175,5121.702363099846,117.45383522727273,0.12422267,0.15390987809597523,rock
25,0.4160121,0.5921535,2816.5894940017215,2471.8602214589246,5372.334180896865,117.45383522727273,0.19934368,0.15867364369678794,rock
26,0.40750477,0.5557763,2844.9331286598836,2410.342820741298,5311.009551718508,117.45383522727273,0.19161445,0.168783937814435,rock
27,0.42589602,0.59409666,2729.922934554985,2384.075922718912,5151.318850679663,117.45383522727273,0.2176843,0.1598353902621904,rock
28,0.39712057,0.5331497,2557.888975199276,2313.155615832038,4832.812443311001,117.45383522727273,0.25848538,0.14609397675599844,rock
29,0.5169007,0.61414176,2423.1878216990285,2127.347794103144,4684.246675001209,95.703125,0.18946795,0.14217676688273995,rock
30,0.41560268,0.55713624,2393.7242695752802,2152.4793905079396,4625.397030856956,95.703125,0.20585585,0.13321310226393188,rock
31,0.41107148,0.55323035,2377.2624440622644,2131.3267560803856,4601.5721749226,95.703125,0.1975096,0.13466471858068885,rock
32,0.42290768,0.5851663,2113.8862755330188,1923.4927358327811,4016.092381905476,95.703125,0.20897032,0.1210030476006192,rock
33,0.36651707,0.5858662,2503.393958968667,2223.995440542145,4760.73787913603,95.703125,0.20025752,0.13580454539957432,rock
34,0.49334395,0.53487736,2148.1820858517826,2092.525273230625,4281.174112325852,117.45383522727273,0.16643661,0.10712180122871517,rock
35,0.46922052,0.54377294,2476.1908249794988,2452.5529125496723,5030.244582799197,117.45383522727273,0.20545888,0.1151293113873839,rock
36,0.48078212,0.5448567,2893.9362216593336,2451.2336240291115,5540.03316684404,117.45383522727273,0.25821775,0.16634895631772445,rock
